tanggal,pm25,pm10,so2,co,o3,no2,categori
2023-01-01,57.0,23.0,44.5,12.0,12.083333333333334,16.0,2
2023-01-02,53.0,27.0,53.0,3.0,12.0,10.0,2
2023-01-03,43.0,19.0,53.0,3.0,11.0,9.0,2
2023-01-04,51.0,17.0,53.0,4.0,9.0,10.0,2
2023-01-05,59.0,21.0,53.0,19.0,14.0,11.0,2
2023-01-06,68.0,38.0,53.0,16.0,12.0,10.0,2
2023-01-07,64.0,30.0,53.0,14.0,9.0,7.0,2
2023-01-08,60.0,21.0,53.0,13.0,9.0,5.0,2
2023-01-09,68.0,37.0,53.0,15.0,9.0,8.0,2
2023-01-10,63.0,32.0,53.0,13.0,11.0,8.0,2
2023-01-11,81.0,36.0,54.0,14.0,23.0,12.0,2
2023-01-12,111.0,42.0,54.0,15.0,26.0,14.0,1
2023-01-13,135.0,48.0,55.0,15.0,28.0,15.0,1
2023-01-14,91.0,54.0,54.0,17.0,19.0,19.0,2
2023-01-15,73.0,47.0,54.0,12.0,15.0,11.0,2
2023-01-16,69.5,46.0,53.5,12.5,11.0,9.5,0
2023-01-17,66.0,45.0,53.0,13.0,7.0,8.0,2
2023-01-18,80.0,42.0,54.0,14.0,8.0,14.0,2
2023-01-19,79.0,40.0,54.0,16.0,7.0,10.0,2
2023-01-20,65.0,39.0,54.0,13.0,11.0,10.0,2
2023-01-21,75.0,43.0,54.0,14.0,10.0,10.0,2
2023-01-22,66.0,40.0,53.0,13.0,9.0,9.0,2
2023-01-23,51.0,37.0,53.0,11.0,11.0,4.0,2
2023-01-24,43.0,32.0,53.0,10.0,11.0,3.0,2
2023-01-25,53.0,52.0,55.0,10.0,10.0,5.0,2
2023-01-26,61.0,41.0,54.0,13.0,12.0,11.0,2
2023-01-27,66.0,50.0,54.0,13.0,10.0,15.0,2
2023-01-28,68.0,44.0,54.0,14.0,7.0,17.0,2
2023-01-29,82.0,53.0,54.0,20.0,8.0,11.0,2
2023-01-30,65.0,51.0,53.0,14.0,14.0,13.0,2
2023-01-31,90.0,56.0,54.0,16.0,15.0,20.0,2
2023-02-01,65.0,51.0,55.0,12.0,13.0,16.0,2
2023-02-02,66.0,46.0,53.0,13.0,8.0,15.0,2
2023-02-03,53.0,40.0,54.0,10.0,9.0,12.0,2
2023-02-04,74.0,55.0,55.0,14.0,9.0,12.0,2
2023-02-05,71.0,44.0,54.0,16.0,7.0,10.0,2
2023-02-06,56.0,41.0,54.0,11.0,12.0,4.0,2
2023-02-07,65.0,38.0,54.0,12.0,12.0,10.0,2
2023-02-08,61.0,44.0,53.0,15.0,7.0,15.0,2
2023-02-09,61.0,44.0,53.0,13.0,7.0,10.0,2
