tanggal,sentimen_1,sentimen_2,sentimen_3,sentimen_4,sentimen_5,sentimen_6,sentimen_7,sentimen_8,sentimen_9,sentimen_10,sentimen_11,sentimen_12,sentimen_13,sentimen_14,sentimen_15,sentimen_16,sentimen_17,sentimen_18,sentimen_19,sentimen_20,sentimen_21,sentimen_22,sentimen_23,sentimen_24,sentimen_25,sentimen_26,sentimen_27,sentimen_28,sentimen_29,sentimen_30,sentimen_31,sentimen_32,sentimen_33,sentimen_34,sentimen_35,sentimen_36,sentimen_37,sentimen_38,sentimen_39,sentimen_40,sentimen_41,sentimen_42,sentimen_43,sentimen_44,sentimen_45,sentimen_46,sentimen_47,sentimen_48,sentimen_49,sentimen_50,sentimen_51,sentimen_52,sentimen_53,sentimen_54,sentimen_55,sentimen_56,sentimen_57,sentimen_58,sentimen_59,sentimen_60,sentimen_61,sentimen_62,sentimen_63
2023-01-04,"Hujan itu berkah, bukan musibah apalgi bencana. Ulah manusia lah yg mendatangkan musibah dengan merusak dan mencemari lingkungan. Jgn melawan apalgi menolak apa yg diberikan gusti Allah. Ingat ! MurkaNya lbh mengerikan.... Allah maha pengasih lg maha penyayang.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-13,Dan Akhirnya Panasss terik bak musim kemarau... Di Jabodetabek 1 Minggu terakhir dari saya berkomentar. Panasnya Nauzubillah ... Yang seharusnya musim penghujan malah ngga hujan sama sekali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-03,"Mbak Nana maen ke Jambi dong mbak Nanan pengangkutan batubara d Jambi sangat meresahakan karena menggunakan jalan nasional, selain sering timbulnya laka polusi debu batubara ayang d tibulkan sangat parah.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-23,"Kredibel KLH di pertanyakan sebab hasil analisa mereka dg debu yg masyarakat lihat dg mata telanjang debu itu banyak ,kok KLH masi bilang masi di bawah baku mutu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-29,"Sejak DKI Jakarta sudah tidak dijabat Anies Baswedan kwalitas jakarta menjadi buruk..............macet semangkin parah, udara tidak sehat dan tidak ada gebrakan maupun perawatan yang baik dari pejabat sekarang.........Anies Baswedan memang gubernur cerdas dan Top","Pengusaha batu bara berhasil berada di posisi puncak orang terkaya di negeri ini menyingkirkan pengusaha rokok, pertanda pembangkit listrik makin ngebul mangeluarkan polusi akibat beban bertambah dari penggunaan kendaraan listrik ) Jakarta dikelilingi oleh pembangkit listrik, saat CoVid tidak mengubah langit Jakarta, pertanda asap kendaraan bukan sumber utama polusi udara di Jakarta.",Anis tuh yg bikin polusi,Udah kumuh busuk gak tertata rapi banyak sampah dibuang sembarangan Udara ngirup asap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-06,"Seharusnya Pemerintah harus bisa 1. Buat Inovasi Mesin Penyaring udara kotor atau Alat Penghisap Udara Kotor seperti Exhaust Fan disetiap jalan di Jakarta dan Kota2 Lain di Indonesia yang punya Polusi Tinggi 2. Di Luar Negeri ada Pabrik Penyaring atau penghisap udara kotor menjadi oksigen siap hirup 3. Mahasiswa di Medan ada buat Inovasi Penyaring atau Penghisap udara kotor. Note Harus ada Solusi yang terbaik dari Pemerintah di setiap ada masalah di negara kita sendiri, kasihan orang2 dan anak2 kecil yang terkena dampaknya akibat menghirup udara kotor. Nyawa Setiap Manusia Sangat Berharga","Seharusnya Pemerintah harus bisa 1. Buat Inovasi Mesin Penyaring udara kotor atau Alat Penghisap Udara Kotor seperti Exhaust Fan disetiap jalan di Jakarta. 2. Di Luar Negeri ada Pabrik Penyaring atau penghisap udara kotor menjadi oksigen siap hirup 3. Mahasiswa di Medan ada buat Inovasi Penyaring atau Penghisap udara kotor. Note Harus ada Solusi yang terbaik dari Pemerintah di setiap ada masalah di negara kita sendiri, kasihan orang2 dan anak2 kecil yang terkena dampaknya akibat menghirup udara kotor","Seharusnya pemerintah harus bisa 1. Buat Inovasi Mesin Penyaring udara kotor atau Alat Penghisap Udara Kotor seperti Exhaust Fan disetiap jalan di Jakarta. 2. Di Luar Negeri ada Pabrik Penyaring atau penghisap udara kotor menjadi oksigen siap hirup 3. Mahasiswa di Medan ada buat Inovasi Penyaring atau Penghisap udara kotor. Note Harus ada Solusi yang terbaik dari Pemerintah di setiap ada masalah di negara kita sendiri, kasihan orang2 dan anak2 kecil yang terkena dampaknya akibat menghirup udara kotor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-09,"Org desa yg baru prtama k jakarta psti bs mrsknY. Kulit jd lengket, rmbut kaku, dn sring mncium bau got",Lah dulu kan ud dibikinin jalur sepeda utk mengurangi polusi...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-13,"Lucu bicrain polusi udara tpi pemerintah sndri ga btasi penjualan kendraan tpi mau ny pajak doangan, pa lgi ngutang kendraan gmpang modal 300k ja bs dpet kendraan baru.","Wow jaman dulu sibuk mempromosikan kendaraan Made In Japan berbahan bakar Fosil dengan gencar gencarnya, tapi setelah mengecap hasil eleknya malah kepo polusi sekarang, - ujuk ujuk proyek kendaraan listrik digenjot maju menjadi proyek handalan masa depan bahkan disubsidi, bangkrut keuangan Negara , - Sekian dan terimakasih, ..... Salam. .","sdh sejak 2014 setiap sy naik motor setiap naik flyover keliatan bgt kabut polusi di langit, jd ga heran kl skrg makin parah, alhasil sy memutuskan pindah ke daerah, dan sy rasakan betul walaupun gaji ga segede jkt tp tingkat kesehatan dan stamina sy sekeluarga lbh baik, kami hidup lbh happy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-14,Polusi Dr rakyat oleh rakyat untuk rakyat,"Sejak lama memang kualitas udara Jakarta buruk, bahkan bbrp kali juara terburuk bergantian dgn Delhi India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-16,"Pj Gubernur Heru hebat . Sukses mimpin jakarta, hahahahahahaha .",Bukan kedaraan bermotor tapi kedaraan berbakar DISEL..PABRIK2 JUGA BANYA YG MENGAKIBATKAN POLISI UDARA,Motor lagi motor lagi ... Motor udah pakai 4 tak masih di salahin ..kendaraan teuck yang asap nya hitam pekat dan bis yang tak terawat mengeluarkan asap ...siapa yang di salah kan ?? Asap pabrik jadi bagian polusi juga dong??,TENANG KATA PJBNYA TUH POLUSI NANTI DITIUP...KWKSKSKSKSKS,"Polusi karena udah jadi beton semua hutanya kurang jgn kendaraan yg disalahkan...sawah,hutan jadi beton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
