tanggal,komentar,video_id
2023-08-29,"Warga jakarta yg terkontaminasi polusi asap akan mengalami mutasi genetik menjadi mutan yg tahan hidup dalam polusi udara, seperti pengais sampah jadi mutan tahan sampah.",r1uuMJp5swk
2023-08-26,Lumayan polusi udara sebagai makanan pokok warga jakarta gantikan beras mewah yang suka dengan gaya hedonisme di tengah kota,r1uuMJp5swk
2023-08-17,baru aja polusi berkurang saat covid tampaknya memang covid adalah obat untuk bumi dan penyakit untuk manusia 😅,r1uuMJp5swk
2023-08-13,"Sayang sekali tidak dibahas kenapa polusi itu ada.
Seharusnya bisa dibandingkan juga data time series tingkat polusinya untuk seetidaknya dalam kurun waktu 10 tahun.",r1uuMJp5swk
2023-08-12,"kalau perizinan usaha gak bertele-tele, gak banyak suap dan juga infrastruktur merata selurug indonesia maka pasti gak akan terpusat ke satu daerah aja pabrik2 industri",r1uuMJp5swk
2023-08-12,"Tapi emang gila sih, betapa jakarta (dan jabodetabek) itu dikepung oleh pabrik2 dan industri raksasa. Gue yang sedari kecil tinggal di desa di jateng sempat takjub melihat pabrik2 berjejer tanpa henti sepanjang 15 km antara jakarta-depok",r1uuMJp5swk
2023-08-12,"Faktor utama polusi udara adalah, PEMBANGKIT LISTRIK Tenaga batu bara 😂. Energi yang dilepas mengarah ke Jakarta (pulau jawa).",r1uuMJp5swk
2023-08-29,"Penyebab udara buruk di Jakarta :
57% polusi dari kendaraan bermotor
14% pengolahan batu bara
13% aktivitas2 konstruksi & industri",qSAjtkwem7o
2023-08-21,DI TINGGAL PAK.ANIS JAKARTA POLUSI TERBURUK SE DUNIA,qSAjtkwem7o
2023-07-03,Terlalu banyk pabrik yg akibatkan asap2 hitam polusi selain padat transportasi,E4nuMUg96aM
2023-06-29,Segeralah diganti dengan kendaraan listrik agar kualitas udara lebih baik lagi dan jauhkan industri dari tempat pemukiman warga,E4nuMUg96aM
2023-09-09,Suatu saat nafas di Jakarta bakal bayar,OGw2Jhu4KlU
2023-08-26,Warga jkt Hdup shat bersama polusi n anies🤣🤣🤣,OGw2Jhu4KlU
2023-08-19,"Pribadi saya lebih mendorong pemerintah mensubsidi PLTS solar panel rumahan daripada EV, ini akan sangat mentransformasi banget tapi akan sangat merugikan lingkaran PLN khususnya mafia Batubara. Tapi kalo ini sukses beralih masif di terapkan di pemukinan JABODETABEK , dengan teknologi PLTS hybrid rumahan PLN yaitu kompensasi kelebihan listrik yang diproduksi tidak terpakai rumahan dapat diekspor ke PLN (kita dibayar) mungkin menjadi solusi untuk penggunaan listrik yang dibutuhkan industri pabrik dll. Semoga PLTU Batubara bisa ditutup SEGERA !",OGw2Jhu4KlU
2023-08-19,"Saya dari NTT yg biasa udara segar, masuk ke JKT lgsg berasa di hidung dan tenggorokan.  Smga JKT bisa membaik udaranya.",OGw2Jhu4KlU
2023-08-18,"bagimana gak polusi udara kurang bagus di jakarta, kurang nya pembangunan penghijauan kota seperti taman, dan pembuatan hutan , jangan salahin kendaraan , sadar diri kita aja pikir penghijauan dikota jakarta kurang, pemimpin sibuk buat yang kurang manfaat",OGw2Jhu4KlU
2023-08-18,"Cerobong pabrik diwajibkan pakai exh gas scruber, jadi asap cerobong asapnya disemprot pakai air untuk mengurangi timbal dan carbon kemudian  asap yang bersih dilepaskan ke udara, seperti seperti dikapal itu lo. Jangan kendaraan orang kecil yang di jadikan alasan terus.",OGw2Jhu4KlU
2023-08-18,Tolong dicheck pabrik yang menggunakan batubara ...penerintah harus tegas,OGw2Jhu4KlU
2023-08-17,Ditangani heru  DKI Parah polusi udara,OGw2Jhu4KlU
2023-08-16,"KOMPAK bgt ya Tv tv rezim,, yg disalahin Kendaraan,, padahal 3 PLTU dibanten lah yg menyebabkan polusi gila2an udara jakarta Depok",OGw2Jhu4KlU
2023-08-16,"Sedih banget Jakarta jadi balik ke jaman dulu. Ini salah satu alasan aku ga mau tinggal lagi di Jakarta 14 tahun lalu. Tiap kali liburan ke Jkt, seneng krn polusi semakin sedikit sejak ada MRT. Sedih sekarang balik lagi jadi banyak polusi😢",OGw2Jhu4KlU
2023-08-16,"Jakarta setelah masa kepemimpinan Pak Anis amburadu, semrawut, ruwet",OGw2Jhu4KlU
2023-08-16,"Asap itu dimasukan ke tanah bukan di arahkan kegorong"" Raksasa kelalut... Melawan sunatuwlah..",OGw2Jhu4KlU
2023-08-15,polutan yg memroduksi juga kalian..jadi mamam tuh polusi,OGw2Jhu4KlU
2023-08-15,Ketika Anies Gub Dki. Udara jkt kotor  buzer lapor polisi. Skrg mana laporannye...broo. HERU apa aja kerjaanya.,OGw2Jhu4KlU
2023-08-15,"infrastrukturnya uda kacau dari awal jadi susah dibenerin n serba salah, mau naik kendaraan pribadi macet dimana2 karena konstruksi jalan yg ga bener akibatnya bikin polusi udara, mau naik kendaraan umum ga nyaman banyak copet, pelecehan apalagi kalo malem agak serem, blom lagi tempelan ama org miskin badannya bau... paling solusinya terapin ganjil genap sepanjang hari termasuk hari libur, melakukan hukuman mati pada orang yg pake kendaraan asapnya ngepul, dan subsidi mobil2 dan motor listrik",OGw2Jhu4KlU
2023-08-15,"Polusi ini mah warisan Anies.. Heru mmg luarr biasa, liat saja, dlm waktu 1 bln kedepan, udara jkt akan jd no.1 terbersih di dunia..😂😂😂",OGw2Jhu4KlU
2023-08-15,"bener sih kata bg yosep harusnya jika ingin masyarakat tidak menggunakan kendaraan pribadi harusnya kendaraan umumnya yg dibenahi, sebaliknya polusi di Jakarta malah pengendara yg jadi kambing hitam, padahal kalau kesejahteraan merata dan mudahnya akses2 kendaraan umum masyarakat pasti memilih kendaraan umum..",OGw2Jhu4KlU
2023-08-14,langit nggak terlihat hanya asap doang,OGw2Jhu4KlU
2023-08-14,Siap-siap untuk wajib dibeli oleh masyarakat di jakarta suatu produk yang harus dipakai untuk mengurangi polusi yang sedang dikampanyekan ini,OGw2Jhu4KlU
2023-08-14,"Polusi udara solusinya bukan jalur sepeda tapi IKN 😁
yang promo IKN menang banyak nih 😁",OGw2Jhu4KlU
2023-08-14,"Polusi jakarta sama macet mah gampang ilanginnya... Sebar Corona virus...aja

jakarta itu ibarat pasar tradisional....
Kalo mau di buat modern gampang...
Pemerintah kerja yg lebih keras lagi...bisa kan tinggal ngutang....",OGw2Jhu4KlU
2023-08-14,"Ikutin Jepang 5 tahun sekali giling motor pakai duit sendiri. Pajak kendaraan naikin biar naik kendaraan umum. Tutup urbanisasi tambahan agar tidak ada lagi pendatang yang pindah ke jakarta karena sudah sangat melewati batas. 1KK 1 kendaraan, ini bisa ngelarin tapi mafia pemerintah ga bakal biarin minyaknya nganggur.",OGw2Jhu4KlU
2023-08-13,"Ngasih yg harusnya gratis aja ini negara gagal. Weekend begini polusinya masih juga tinggi, eh pejabatnya malah jd sales EV. Yg jadi korban tetep rakyatnya 😂😂",OGw2Jhu4KlU
